#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-080	10.19	422.46	0.00	3.54	0.848	0.870	0.883	0.699	0.718
batch-04_epo-120	5.76	416.54	0.00	2.83	0.860	0.845	0.871	0.692	0.710
batch-04_epo-160	5.91	415.24	0.00	3.00	0.860	0.831	0.874	0.699	0.716
batch-04_epo-200	5.92	414.26	0.00	2.97	0.885	0.860	0.884	0.709	0.727
batch-04_epo-240	5.75	429.74	0.00	2.65	0.859	0.870	0.884	0.724	0.740
batch-04_epo-300	5.60	431.06	0.00	2.67	0.841	0.826	0.862	0.676	0.695
batch-08_epo-080	5.63	432.83	0.00	2.88	0.840	0.835	0.866	0.695	0.713
batch-08_epo-120	6.00	417.69	0.00	2.68	0.841	0.870	0.882	0.723	0.739
batch-08_epo-160	6.81	424.24	0.00	3.06	0.857	0.860	0.873	0.705	0.721
batch-08_epo-200	5.98	427.88	0.00	3.09	0.850	0.877	0.885	0.725	0.741
batch-08_epo-240	6.68	409.18	0.00	3.03	0.829	0.827	0.851	0.702	0.717
batch-08_epo-300	6.28	419.15	0.00	2.91	0.860	0.810	0.856	0.702	0.718
batch-16_epo-080	5.78	433.43	0.00	2.83	0.865	0.883	0.890	0.718	0.735
batch-16_epo-120	5.39	413.20	0.00	2.84	0.862	0.848	0.870	0.705	0.721
batch-16_epo-160	5.91	411.26	0.00	2.98	0.878	0.821	0.875	0.721	0.737
batch-16_epo-200	6.64	424.48	0.00	3.28	0.849	0.857	0.877	0.717	0.733
batch-16_epo-240	5.96	406.84	0.00	3.05	0.833	0.856	0.862	0.696	0.712
batch-16_epo-300	5.80	424.73	0.00	2.98	0.836	0.858	0.871	0.700	0.717
batch-20_epo-080	5.88	422.05	0.00	2.76	0.846	0.866	0.877	0.707	0.724
batch-20_epo-120	5.91	395.93	0.00	2.99	0.847	0.863	0.881	0.709	0.726
batch-20_epo-160	6.31	488.00	0.00	3.15	0.820	0.848	0.862	0.708	0.723
batch-20_epo-200	5.72	433.19	0.00	2.84	0.842	0.849	0.866	0.713	0.728
batch-20_epo-240	5.62	425.54	0.00	2.80	0.825	0.870	0.877	0.734	0.749
batch-20_epo-300	5.62	424.15	0.00	2.76	0.865	0.838	0.864	0.707	0.723
batch-30_epo-080	5.57	419.95	0.00	2.58	0.836	0.869	0.873	0.713	0.729
batch-30_epo-120	5.67	399.39	0.00	2.72	0.848	0.850	0.865	0.719	0.734
batch-30_epo-160	5.68	422.75	0.00	2.75	0.878	0.826	0.866	0.721	0.735
batch-30_epo-200	5.28	429.59	0.00	2.61	0.838	0.865	0.877	0.724	0.740
batch-30_epo-240	5.76	403.32	0.00	2.80	0.881	0.863	0.887	0.721	0.738
batch-30_epo-300	5.67	425.00	0.00	2.61	0.840	0.837	0.865	0.707	0.723
batch-40_epo-080	5.24	424.38	0.00	2.67	0.868	0.839	0.873	0.712	0.728
batch-40_epo-120	5.49	405.93	0.00	2.69	0.860	0.821	0.856	0.702	0.717
batch-40_epo-160	5.23	419.88	0.00	2.59	0.813	0.855	0.859	0.719	0.733
batch-40_epo-200	5.53	419.64	0.00	3.21	0.860	0.852	0.874	0.731	0.745
batch-40_epo-240	6.78	413.16	0.00	3.27	0.821	0.871	0.873	0.706	0.722
batch-40_epo-300	5.83	418.57	0.00	2.59	0.836	0.853	0.872	0.710	0.726
