#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-040	0.30	2.66	0.00	2.47	0.833	0.826	0.827	0.667	0.683
batch-04_epo-080	0.28	2.44	0.00	1.78	0.864	0.834	0.877	0.717	0.733
batch-04_epo-120	0.30	2.76	0.02	2.37	0.872	0.907	0.891	0.727	0.744
batch-04_epo-160	0.33	3.19	0.00	1.98	0.847	0.926	0.905	0.749	0.765
batch-04_epo-180	0.33	3.12	0.03	2.08	0.859	0.917	0.915	0.753	0.769
batch-04_epo-200	0.32	2.87	0.00	2.35	0.794	0.946	0.916	0.753	0.769
batch-08_epo-040	0.22	2.01	0.00	2.12	0.712	0.876	0.822	0.672	0.687
batch-08_epo-080	0.25	1.78	0.00	1.92	0.862	0.757	0.855	0.715	0.729
batch-08_epo-120	0.26	1.79	0.00	2.29	0.899	0.886	0.933	0.767	0.783
batch-08_epo-160	0.24	1.77	0.00	2.78	0.871	0.916	0.916	0.756	0.772
batch-08_epo-180	0.22	1.77	0.01	1.80	0.926	0.854	0.930	0.776	0.792
batch-08_epo-200	0.23	1.77	0.01	2.28	0.889	0.912	0.926	0.767	0.783
batch-16_epo-040	0.81	1.76	0.00	0.51	0.772	0.816	0.843	0.678	0.695
batch-16_epo-080	0.87	1.72	0.00	0.37	0.844	0.926	0.897	0.742	0.758
batch-16_epo-120	0.84	1.73	0.00	0.35	0.841	0.888	0.896	0.737	0.753
batch-16_epo-160	0.84	1.72	0.00	0.35	0.853	0.892	0.917	0.761	0.776
batch-16_epo-180	0.88	1.73	0.00	0.33	0.896	0.891	0.941	0.787	0.803
batch-16_epo-200	0.83	1.72	0.00	0.46	0.925	0.861	0.940	0.776	0.793
batch-32_epo-040	0.22	1.66	0.00	0.39	0.803	0.867	0.861	0.707	0.723
batch-32_epo-080	0.22	1.64	0.00	0.34	0.774	0.930	0.892	0.725	0.742
batch-32_epo-120	0.22	1.62	0.00	0.33	0.847	0.905	0.901	0.755	0.770
batch-32_epo-160	0.21	1.50	0.00	0.30	0.879	0.867	0.916	0.763	0.778
batch-32_epo-180	0.24	1.62	0.00	0.31	0.839	0.866	0.909	0.757	0.772
batch-32_epo-200	0.23	1.49	0.00	0.29	0.913	0.869	0.935	0.776	0.792
