#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
#
batch-04_epo-080	0.31	3.43	0.00	0.58	0.851	0.784	0.827	0.642	0.660
batch-04_epo-120	0.30	3.38	0.00	0.62	0.857	0.798	0.840	0.661	0.679
batch-04_epo-160	0.31	3.26	0.00	0.63	0.866	0.808	0.851	0.653	0.672
batch-04_epo-200	0.31	3.34	0.00	0.55	0.892	0.794	0.851	0.666	0.685
batch-04_epo-240	0.33	3.97	0.00	0.62	0.870	0.781	0.823	0.661	0.677
batch-04_epo-300	0.30	3.74	0.00	0.59	0.887	0.792	0.849	0.671	0.689
batch-08_epo-080	0.32	3.80	0.00	0.62	0.879	0.786	0.838	0.651	0.670
batch-08_epo-120	0.33	3.60	0.00	0.62	0.868	0.791	0.843	0.658	0.677
batch-08_epo-160	0.30	3.50	0.00	0.64	0.881	0.800	0.849	0.669	0.687
batch-08_epo-200	0.30	3.58	0.00	0.54	0.872	0.760	0.821	0.656	0.673
batch-08_epo-240	0.32	3.73	0.00	0.56	0.873	0.827	0.862	0.665	0.685
batch-08_epo-300	0.31	3.52	0.00	0.62	0.886	0.818	0.859	0.667	0.686
batch-16_epo-080	0.30	3.70	0.00	0.66	0.868	0.765	0.822	0.664	0.680
batch-16_epo-120	0.30	3.75	0.00	0.60	0.893	0.769	0.833	0.659	0.676
batch-16_epo-160	0.30	3.50	0.00	0.54	0.851	0.735	0.798	0.645	0.660
batch-16_epo-200	0.31	3.44	0.00	0.66	0.886	0.731	0.820	0.642	0.659
batch-16_epo-240	0.30	3.65	0.00	0.58	0.885	0.752	0.834	0.656	0.674
batch-16_epo-300	0.33	3.95	0.00	0.64	0.873	0.743	0.816	0.655	0.671
batch-20_epo-080	0.32	4.37	0.00	0.66	0.865	0.779	0.837	0.650	0.668
batch-20_epo-120	0.40	3.78	0.00	0.67	0.871	0.763	0.830	0.656	0.674
batch-20_epo-160	0.30	3.60	0.00	0.61	0.884	0.778	0.839	0.667	0.684
batch-20_epo-200	0.31	3.60	0.00	0.71	0.870	0.811	0.853	0.677	0.695
batch-20_epo-240	0.31	3.77	0.00	0.59	0.886	0.808	0.854	0.669	0.687
batch-20_epo-300	0.31	3.78	0.00	0.62	0.936	0.850	0.904	0.725	0.743
batch-30_epo-080	0.29	3.37	0.00	0.49	0.889	0.732	0.806	0.624	0.642
batch-30_epo-120	0.32	3.49	0.00	0.53	0.869	0.776	0.826	0.657	0.673
batch-30_epo-160	0.30	3.36	0.00	0.62	0.877	0.765	0.823	0.655	0.672
batch-30_epo-200	0.31	3.61	0.00	0.57	0.880	0.761	0.832	0.645	0.664
batch-30_epo-240	0.34	4.40	0.01	0.75	0.891	0.811	0.856	0.671	0.689
batch-30_epo-300	0.29	3.15	0.00	0.50	0.867	0.807	0.838	0.662	0.680
batch-40_epo-080	0.31	3.46	0.00	0.51	0.883	0.799	0.842	0.656	0.675
batch-40_epo-120	0.30	3.15	0.00	0.50	0.873	0.732	0.808	0.641	0.658
batch-40_epo-160	0.28	3.18	0.00	0.55	0.876	0.745	0.825	0.654	0.671
batch-40_epo-200	0.29	3.45	0.00	0.61	0.872	0.751	0.823	0.652	0.669
batch-40_epo-240	0.29	3.33	0.00	0.50	0.867	0.769	0.829	0.656	0.673
batch-40_epo-300	0.32	3.86	0.00	0.72	0.878	0.756	0.827	0.648	0.666
