#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
#
batch-04_epo-080	0.25	2.19	0.01	1.61	0.864	0.890	0.892	0.720	0.738
batch-04_epo-120	0.28	2.06	0.00	0.66	0.848	0.877	0.882	0.711	0.728
batch-04_epo-160	0.24	2.10	0.00	0.67	0.898	0.868	0.902	0.719	0.737
batch-04_epo-200	0.27	2.05	0.00	0.75	0.895	0.862	0.893	0.728	0.744
batch-04_epo-240	0.25	2.25	0.00	0.57	0.877	0.887	0.890	0.726	0.743
batch-04_epo-300	0.26	3.54	0.00	0.78	0.857	0.844	0.872	0.698	0.716
batch-08_epo-080	0.28	1.79	0.00	0.94	0.873	0.861	0.884	0.722	0.738
batch-08_epo-120	0.28	1.76	0.01	1.10	0.896	0.866	0.895	0.735	0.751
batch-08_epo-160	0.30	1.69	0.00	1.08	0.891	0.867	0.884	0.730	0.745
batch-08_epo-200	0.27	1.77	0.00	0.88	0.880	0.875	0.891	0.731	0.747
batch-08_epo-240	0.27	1.70	0.00	1.02	0.857	0.867	0.872	0.724	0.739
batch-08_epo-300	0.28	1.78	0.00	1.19	0.869	0.864	0.884	0.723	0.739
batch-16_epo-080	0.28	1.64	0.00	2.64	0.875	0.882	0.891	0.724	0.740
batch-16_epo-120	0.34	1.65	0.00	2.23	0.885	0.889	0.893	0.728	0.744
batch-16_epo-160	0.35	1.68	0.00	2.37	0.859	0.868	0.880	0.726	0.741
batch-16_epo-200	0.32	1.65	0.00	2.60	0.957	0.941	0.962	0.803	0.819
batch-16_epo-240	0.35	1.67	0.00	2.80	0.864	0.864	0.878	0.716	0.732
batch-16_epo-300	0.33	1.68	0.00	2.31	0.872	0.871	0.877	0.714	0.730
batch-20_epo-080	0.59	2.35	0.00	2.98	0.873	0.877	0.889	0.717	0.734
batch-20_epo-120	0.49	2.35	0.00	2.02	0.894	0.884	0.901	0.725	0.742
batch-20_epo-160	0.52	1.69	0.00	2.58	0.847	0.871	0.876	0.720	0.735
batch-20_epo-200	0.47	1.93	0.00	2.08	0.876	0.871	0.890	0.735	0.750
batch-20_epo-240	0.51	2.09	0.00	2.23	0.859	0.876	0.887	0.738	0.753
batch-20_epo-300	0.50	1.59	0.00	1.94	0.893	0.883	0.891	0.725	0.742
batch-30_epo-080	0.80	2.09	0.00	0.44	0.872	0.866	0.877	0.720	0.736
batch-30_epo-120	0.82	2.12	0.00	0.83	0.883	0.864	0.877	0.729	0.744
batch-30_epo-160	0.68	2.17	0.00	1.06	0.876	0.852	0.876	0.725	0.741
batch-30_epo-200	0.73	2.01	0.00	1.25	0.880	0.863	0.877	0.728	0.743
batch-30_epo-240	0.84	2.37	0.00	0.80	0.881	0.858	0.883	0.726	0.741
batch-30_epo-300	1.01	2.13	0.00	0.72	0.881	0.844	0.870	0.722	0.737
batch-40_epo-080	0.41	1.62	0.00	0.27	0.878	0.866	0.877	0.725	0.740
batch-40_epo-120	0.29	1.52	0.00	0.27	0.875	0.865	0.879	0.734	0.748
batch-40_epo-160	0.24	1.57	0.00	0.27	0.849	0.883	0.876	0.733	0.747
batch-40_epo-200	0.34	1.53	0.00	0.28	0.879	0.873	0.884	0.744	0.758
batch-40_epo-240	0.22	1.54	0.00	0.97	0.842	0.848	0.865	0.713	0.728
batch-40_epo-300	0.29	1.54	0.00	0.30	0.946	0.957	0.962	0.805	0.821
