#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-040	0.25	4.57	0.00	10.42	0.147	0.247	0.175	0.104	0.111
batch-04_epo-080	0.26	4.05	0.00	1.90	0.879	0.901	0.966	0.825	0.839
batch-04_epo-120	0.26	4.53	0.00	1.44	0.851	0.965	0.966	0.827	0.841
batch-04_epo-160	0.25	4.47	0.00	1.66	0.922	0.912	0.962	0.819	0.833
batch-08_epo-040	0.25	4.40	0.00	0.46	0.800	0.970	0.922	0.765	0.781
batch-08_epo-080	0.25	4.30	0.00	0.36	0.926	0.872	0.963	0.822	0.836
batch-08_epo-120	0.29	4.30	0.00	0.34	0.888	0.951	0.965	0.830	0.843
batch-08_epo-160	0.28	4.30	0.00	0.34	0.893	0.972	0.970	0.828	0.842
batch-16_epo-040	0.22	4.29	0.00	0.61	0.771	0.981	0.974	0.817	0.833
batch-16_epo-080	0.28	4.32	0.00	0.35	0.901	0.917	0.964	0.811	0.826
batch-16_epo-120	0.23	4.33	0.00	0.36	0.874	0.951	0.963	0.813	0.828
batch-16_epo-160	0.22	4.29	0.00	0.34	0.821	0.981	0.963	0.822	0.836
batch-32_epo-040	0.27	4.30	0.00	0.67	0.804	0.945	0.919	0.756	0.772
batch-32_epo-080	0.22	4.29	0.00	0.36	0.890	0.934	0.967	0.811	0.826
batch-32_epo-120	0.25	4.30	0.00	0.35	0.869	0.960	0.980	0.830	0.845
batch-32_epo-160	0.22	4.29	0.00	0.35	0.905	0.953	0.962	0.820	0.834
