#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-040	1.36	8.01	0.02	2.52	0.774	0.886	0.855	0.705	0.720
batch-04_epo-080	1.19	4.48	0.01	2.27	0.892	0.868	0.884	0.717	0.734
batch-04_epo-120	0.91	4.48	0.00	1.90	0.894	0.864	0.910	0.767	0.782
batch-04_epo-160	1.15	4.55	0.03	2.39	0.806	0.869	0.872	0.734	0.748
batch-04_epo-180	1.30	5.38	0.00	1.69	0.887	0.890	0.892	0.745	0.760
batch-04_epo-200	1.19	4.50	0.01	2.25	0.923	0.830	0.921	0.773	0.788
batch-08_epo-040	1.57	4.83	0.00	2.19	0.845	0.849	0.854	0.698	0.713
batch-08_epo-080	1.71	4.31	0.04	2.49	0.832	0.919	0.874	0.738	0.751
batch-08_epo-120	1.68	4.35	0.00	2.44	0.898	0.915	0.932	0.786	0.801
batch-08_epo-160	1.75	4.32	0.00	2.61	0.874	0.910	0.937	0.774	0.791
batch-08_epo-180	1.58	4.33	0.00	2.47	0.913	0.873	0.936	0.774	0.790
batch-08_epo-200	1.54	4.25	0.01	2.59	0.873	0.890	0.937	0.780	0.796
batch-16_epo-040	1.91	4.01	0.00	1.05	0.804	0.898	0.884	0.727	0.743
batch-16_epo-080	1.80	3.98	0.00	0.37	0.912	0.858	0.912	0.761	0.776
batch-16_epo-120	1.78	3.86	0.00	0.38	0.897	0.843	0.922	0.773	0.788
batch-16_epo-160	1.65	3.79	0.00	0.36	0.890	0.865	0.911	0.768	0.782
batch-16_epo-180	1.72	3.96	0.00	0.45	0.943	0.909	0.937	0.791	0.806
batch-16_epo-200	1.91	4.01	0.00	0.48	0.905	0.897	0.940	0.776	0.792
batch-32_epo-040	0.57	4.50	0.00	0.60	0.833	0.844	0.892	0.756	0.770
batch-32_epo-080	0.31	3.85	0.00	0.36	0.883	0.887	0.937	0.781	0.797
batch-32_epo-120	0.54	3.87	0.00	0.39	0.916	0.903	0.940	0.791	0.806
batch-32_epo-160	0.55	3.92	0.00	0.88	0.875	0.937	0.947	0.773	0.791
batch-32_epo-180	0.57	3.93	0.00	0.56	0.903	0.910	0.934	0.784	0.799
batch-32_epo-200	0.51	3.86	0.00	0.47	0.920	0.887	0.948	0.785	0.801
