epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.00044,1.40608,4.02289,1.16958,0.87374,0.06667,0.04526,0.03011,1.47049,4.5148,1.18419,2.307e-05,2.307e-05,2.307e-05
2,1.45732,1.53763,4.68818,1.43847,0.69646,0.15,0.04935,0.03334,1.47682,4.50744,1.18102,5.24977e-05,5.24977e-05,5.24977e-05
3,1.94497,1.34523,4.28351,1.23042,0.92107,0.08333,0.17112,0.1184,1.30117,3.7554,1.11055,8.04028e-05,8.04028e-05,8.04028e-05
4,2.43474,1.10204,3.17746,1.06226,0.28757,0.63558,0.49434,0.34323,1.01331,4.29722,0.99684,0.000106785,0.000106785,0.000106785
5,2.91444,1.00704,2.55648,1.06645,0.45726,0.90628,0.66636,0.50058,0.91416,3.35286,0.95788,0.000131645,0.000131645,0.000131645
6,3.38432,0.95267,2.10715,1.04172,0.5624,0.90081,0.73336,0.53304,0.87356,2.74373,0.93602,0.000154982,0.000154982,0.000154982
7,3.85267,0.97204,1.66087,0.98894,0.5624,0.90081,0.73336,0.53304,0.87356,2.74373,0.93602,0.000176797,0.000176797,0.000176797
8,4.33391,0.83436,1.5491,0.92804,0.67157,0.81056,0.80562,0.61274,0.83422,2.14978,0.9222,0.000197089,0.000197089,0.000197089
9,4.79501,0.90457,1.56587,0.98646,0.6638,0.8093,0.83616,0.64766,0.82599,1.60057,0.92057,0.000215858,0.000215858,0.000215858
10,5.25101,0.81928,1.18166,0.9303,0.6638,0.8093,0.83616,0.64766,0.82599,1.60057,0.92057,0.000233105,0.000233105,0.000233105
11,5.71643,0.78113,1.19717,0.95626,0.76476,0.78395,0.8443,0.67519,0.82505,1.49207,0.91737,0.000248829,0.000248829,0.000248829
12,6.16924,0.80213,1.22119,0.92878,0.76476,0.78395,0.8443,0.67519,0.82505,1.49207,0.91737,0.000263031,0.000263031,0.000263031
13,6.64506,0.76153,1.27877,0.90895,0.7505,0.91071,0.84007,0.67516,0.78662,1.41861,0.91001,0.00027571,0.00027571,0.00027571
14,7.07698,0.88737,2.4214,1.10748,0.7505,0.91071,0.84007,0.67516,0.78662,1.41861,0.91001,0.000286866,0.000286866,0.000286866
15,7.51099,0.75119,1.30446,0.95642,0.82292,0.9121,0.85591,0.68901,0.76947,1.33632,0.90367,0.000296499,0.000296499,0.000296499
16,7.95782,0.77151,1.10589,0.9068,0.82292,0.9121,0.85591,0.68901,0.76947,1.33632,0.90367,0.000304611,0.000304611,0.000304611
17,8.4202,0.78431,1.2537,0.94359,0.82292,0.9121,0.85591,0.68901,0.76947,1.33632,0.90367,0.000311199,0.000311199,0.000311199
18,8.86712,0.79516,1.21996,0.92931,0.83404,0.90594,0.84998,0.70558,0.76867,1.13777,0.89957,0.000316265,0.000316265,0.000316265
19,9.31308,0.80495,1.06145,0.90058,0.83404,0.90594,0.84998,0.70558,0.76867,1.13777,0.89957,0.000319808,0.000319808,0.000319808
20,9.768,0.79195,0.92544,0.87934,0.83404,0.90594,0.84998,0.70558,0.76867,1.13777,0.89957,0.000321828,0.000321828,0.000321828
21,10.2136,0.79508,1.01612,0.9573,0.83404,0.90594,0.84998,0.70558,0.76867,1.13777,0.89957,0.000322326,0.000322326,0.000322326
22,10.6588,0.75141,1.00657,0.94458,0.78833,0.91206,0.87743,0.71226,0.77649,0.98283,0.89975,0.000321302,0.000321302,0.000321302
23,11.0997,0.76753,1.17734,0.93814,0.78833,0.91206,0.87743,0.71226,0.77649,0.98283,0.89975,0.000318754,0.000318754,0.000318754
24,11.5378,0.74073,0.89644,0.88713,0.78833,0.91206,0.87743,0.71226,0.77649,0.98283,0.89975,0.000314684,0.000314684,0.000314684
25,11.9724,0.80771,0.99913,0.91241,0.78833,0.91206,0.87743,0.71226,0.77649,0.98283,0.89975,0.000309092,0.000309092,0.000309092
26,12.4204,0.72107,0.8955,0.90616,0.80367,0.88408,0.87803,0.71591,0.79128,0.92923,0.90147,0.000293181,0.000293181,0.000293181
27,12.8573,0.7782,0.88842,0.89793,0.80367,0.88408,0.87803,0.71591,0.79128,0.92923,0.90147,0.000274148,0.000274148,0.000274148
28,13.2838,0.74221,0.86298,0.92956,0.80367,0.88408,0.87803,0.71591,0.79128,0.92923,0.90147,0.000255116,0.000255116,0.000255116
29,13.722,0.79896,0.97345,0.9252,0.80367,0.88408,0.87803,0.71591,0.79128,0.92923,0.90147,0.000236083,0.000236083,0.000236083
30,14.1754,0.7083,0.84931,0.90498,0.81939,0.88996,0.90112,0.73368,0.76625,0.92882,0.89547,0.00021705,0.00021705,0.00021705
31,14.6251,0.72894,1.33187,0.95978,0.81939,0.88996,0.90112,0.73368,0.76625,0.92882,0.89547,0.000198018,0.000198018,0.000198018
32,15.0565,0.72524,0.95513,0.93587,0.81939,0.88996,0.90112,0.73368,0.76625,0.92882,0.89547,0.000178985,0.000178985,0.000178985
33,15.5174,0.7037,0.92058,0.88157,0.81939,0.88996,0.90112,0.73368,0.76625,0.92882,0.89547,0.000159952,0.000159952,0.000159952
34,15.9594,0.70943,0.94339,0.87676,0.83089,0.93452,0.88602,0.72169,0.75174,0.85684,0.89606,0.000140919,0.000140919,0.000140919
35,16.3598,0.70093,0.92127,0.87619,0.83089,0.93452,0.88602,0.72169,0.75174,0.85684,0.89606,0.000121887,0.000121887,0.000121887
36,16.7716,0.66693,0.91124,0.87734,0.83089,0.93452,0.88602,0.72169,0.75174,0.85684,0.89606,0.000102854,0.000102854,0.000102854
37,17.176,0.78775,1.46943,0.97361,0.83089,0.93452,0.88602,0.72169,0.75174,0.85684,0.89606,8.3821e-05,8.3821e-05,8.3821e-05
38,17.5789,0.66413,0.89929,0.89213,0.83481,0.92513,0.89002,0.72753,0.75437,0.85657,0.89775,6.47882e-05,6.47882e-05,6.47882e-05
39,17.9809,0.68216,0.99221,0.89033,0.83481,0.92513,0.89002,0.72753,0.75437,0.85657,0.89775,4.57555e-05,4.57555e-05,4.57555e-05
40,18.3748,0.66576,0.91159,0.89612,0.83481,0.92513,0.89002,0.72753,0.75437,0.85657,0.89775,2.67228e-05,2.67228e-05,2.67228e-05
