epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.659782,1.40608,4.02289,1.16958,0.87374,0.06667,0.04526,0.03011,1.47049,4.5148,1.18419,2.307e-05,2.307e-05,2.307e-05
2,1.11436,1.53763,4.68818,1.43847,0.69646,0.15,0.04935,0.03334,1.47682,4.50744,1.18102,5.31639e-05,5.31639e-05,5.31639e-05
3,1.59631,1.34434,4.27963,1.23001,0.92075,0.08333,0.17133,0.11855,1.29677,3.75249,1.10944,8.24964e-05,8.24964e-05,8.24964e-05
4,2.09392,1.0911,3.15398,1.0608,0.37387,0.66599,0.5014,0.35711,1.00456,4.32155,0.99599,0.000111068,0.000111068,0.000111068
5,2.57784,0.99916,2.5207,1.06487,0.45478,0.91071,0.62939,0.4641,0.90705,3.33819,0.95538,0.000138878,0.000138878,0.000138878
6,3.04637,0.94552,2.07513,1.03929,0.56208,0.88067,0.7271,0.52677,0.86853,2.72199,0.93492,0.000165926,0.000165926,0.000165926
7,3.5915,0.97786,1.65346,0.99227,0.56208,0.88067,0.7271,0.52677,0.86853,2.72199,0.93492,0.000192213,0.000192213,0.000192213
8,4.06214,0.83488,1.51905,0.92819,0.68897,0.82854,0.82333,0.63219,0.82942,2.09772,0.92284,0.000217739,0.000217739,0.000217739
9,4.53181,0.90873,1.52401,0.98722,0.63552,0.84257,0.84349,0.65192,0.83653,1.61668,0.92414,0.000242504,0.000242504,0.000242504
10,4.99802,0.81414,1.1869,0.93068,0.63552,0.84257,0.84349,0.65192,0.83653,1.61668,0.92414,0.000266508,0.000266508,0.000266508
11,5.45513,0.78366,1.18511,0.96096,0.75453,0.80164,0.8283,0.66894,0.82263,1.50778,0.92257,0.00028975,0.00028975,0.00028975
12,5.91004,0.80096,1.19609,0.92618,0.75453,0.80164,0.8283,0.66894,0.82263,1.50778,0.92257,0.00031223,0.00031223,0.00031223
13,6.37666,0.75593,1.23962,0.90641,0.82686,0.82189,0.83023,0.67011,0.77462,1.36856,0.91369,0.00033395,0.00033395,0.00033395
14,6.84123,0.87631,2.32573,1.10827,0.82686,0.82189,0.83023,0.67011,0.77462,1.36856,0.91369,0.000354908,0.000354908,0.000354908
15,7.31308,0.76947,1.276,0.98029,0.80715,0.91355,0.87056,0.718,0.77137,1.31751,0.90684,0.000375105,0.000375105,0.000375105
16,7.76809,0.768,1.02995,0.90357,0.80715,0.91355,0.87056,0.718,0.77137,1.31751,0.90684,0.00039454,0.00039454,0.00039454
17,8.22685,0.7802,1.1876,0.94385,0.80715,0.91355,0.87056,0.718,0.77137,1.31751,0.90684,0.000413214,0.000413214,0.000413214
18,8.67684,0.79474,1.16698,0.92955,0.81955,0.91884,0.88741,0.72338,0.79816,1.14921,0.90738,0.000431127,0.000431127,0.000431127
19,9.11848,0.78651,1.06359,0.90818,0.81955,0.91884,0.88741,0.72338,0.79816,1.14921,0.90738,0.000448279,0.000448279,0.000448279
20,9.56366,0.76256,0.88707,0.87233,0.81955,0.91884,0.88741,0.72338,0.79816,1.14921,0.90738,0.000464669,0.000464669,0.000464669
21,10.0146,0.79465,0.99982,0.95641,0.81955,0.91884,0.88741,0.72338,0.79816,1.14921,0.90738,0.000480298,0.000480298,0.000480298
22,10.4588,0.76651,1.01757,0.95127,0.87939,0.8806,0.89428,0.72212,0.79457,0.99276,0.90617,0.000495166,0.000495166,0.000495166
23,10.8749,0.77353,1.15616,0.94611,0.87939,0.8806,0.89428,0.72212,0.79457,0.99276,0.90617,0.000509272,0.000509272,0.000509272
24,11.2929,0.74734,0.88772,0.88757,0.87939,0.8806,0.89428,0.72212,0.79457,0.99276,0.90617,0.000522617,0.000522617,0.000522617
25,11.7125,0.8012,0.98369,0.91218,0.87939,0.8806,0.89428,0.72212,0.79457,0.99276,0.90617,0.000535201,0.000535201,0.000535201
26,12.2118,0.71515,0.88992,0.90481,0.77381,0.91432,0.874,0.70624,0.77392,1.04378,0.90417,0.000531091,0.000531091,0.000531091
27,12.6214,0.78731,0.88494,0.90448,0.77381,0.91432,0.874,0.70624,0.77392,1.04378,0.90417,0.000521574,0.000521574,0.000521574
