epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.850779,1.75393,4.53179,1.39326,0.22746,0.09711,0.08701,0.04642,1.76148,3.89609,1.43,1e-05,1e-05,1e-05
2,1.61526,1.76263,4.42013,1.4494,0.23497,0.09591,0.08518,0.04517,1.7591,3.89412,1.42533,2.47937e-05,2.47937e-05,2.47937e-05
3,2.39642,1.79957,4.50653,1.39866,0.1557,0.15598,0.12136,0.07017,1.68117,3.54538,1.37022,3.934e-05,3.934e-05,3.934e-05
4,3.48013,1.55113,3.65177,1.2763,0.62305,0.27542,0.27551,0.19562,1.39892,2.56809,1.21995,5.36388e-05,5.36388e-05,5.36388e-05
5,4.54631,1.29372,2.69661,1.17912,0.5822,0.44498,0.41732,0.32549,1.07854,3.11415,1.10435,6.769e-05,6.769e-05,6.769e-05
6,5.60746,1.17659,2.30196,1.07832,0.69027,0.43855,0.49869,0.3871,0.94664,2.72951,1.04807,8.14937e-05,8.14937e-05,8.14937e-05
7,6.68078,1.07851,1.94458,1.03378,0.75482,0.49622,0.56302,0.43441,0.90156,1.86018,1.02257,9.505e-05,9.505e-05,9.505e-05
8,7.72583,0.98671,1.72666,1.01598,0.74378,0.4664,0.59762,0.45797,0.90318,1.70434,1.01187,0.000108359,0.000108359,0.000108359
9,8.71561,0.97578,1.69347,1.0262,0.66581,0.61401,0.73264,0.55623,0.88829,1.53333,0.99409,0.00012142,0.00012142,0.00012142
10,9.65758,0.93065,1.48131,1.01024,0.47252,0.84778,0.798,0.59988,0.87367,1.44306,0.98742,0.000134234,0.000134234,0.000134234
11,10.5705,0.95812,1.36007,0.99195,0.627,0.81161,0.86462,0.64175,0.85043,1.25093,0.97538,0.0001468,0.0001468,0.0001468
12,11.4604,0.90484,1.31213,0.98556,0.65351,0.79708,0.86262,0.64993,0.84148,1.12327,0.97148,0.000159119,0.000159119,0.000159119
13,12.3462,0.91611,1.30368,0.98834,0.64419,0.87937,0.84922,0.65824,0.82212,0.9988,0.95576,0.00017119,0.00017119,0.00017119
14,13.2235,0.89591,1.26304,1.00165,0.68339,0.85889,0.86378,0.69814,0.82003,0.96159,0.95109,0.000183014,0.000183014,0.000183014
15,14.0912,0.86797,1.14435,0.94253,0.78888,0.84676,0.88397,0.72032,0.85616,0.99958,0.96104,0.00019459,0.00019459,0.00019459
16,14.9669,0.83662,1.03165,0.95162,0.73866,0.91226,0.89612,0.72698,0.86978,0.91176,0.96487,0.000205919,0.000205919,0.000205919
17,15.8427,0.84571,1.02099,0.94518,0.8135,0.8428,0.87547,0.71021,0.8085,0.79298,0.94609,0.000217,0.000217,0.000217
18,16.6755,0.80824,1.00314,0.94048,0.75832,0.95066,0.91056,0.73482,0.78079,0.77692,0.93735,0.000227834,0.000227834,0.000227834
19,17.5519,0.82605,0.9269,0.95155,0.77121,0.89855,0.90847,0.72858,0.78428,0.78886,0.93983,0.00023842,0.00023842,0.00023842
20,18.4085,0.82461,0.96338,0.94133,0.75748,0.88829,0.91302,0.74163,0.80516,0.78371,0.95012,0.000248759,0.000248759,0.000248759
21,19.2752,0.82815,0.93998,0.94286,0.82338,0.91618,0.90801,0.72998,0.84262,0.73289,0.96421,0.00025885,0.00025885,0.00025885
22,20.1105,0.80056,0.94691,0.95242,0.816,0.92145,0.91208,0.73343,0.84169,0.75525,0.96727,0.000268694,0.000268694,0.000268694
23,20.9404,0.81284,0.85167,0.94836,0.77063,0.93761,0.91692,0.75377,0.77399,0.73318,0.94402,0.00027829,0.00027829,0.00027829
