epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45324,1.00951,4.57454,1.04093,0,0,0,0,0.933,4.5037,1.08191,3.156e-05,3.156e-05,3.156e-05
2,2.82988,0.97423,4.46132,1.03025,0,0,0,0,0.90692,4.28322,0.97865,6.79569e-05,6.79569e-05,6.79569e-05
3,4.31337,0.8833,3.8854,0.9738,0.04708,0.33014,0.06585,0.0499,0.8954,4.02212,0.91938,0.000103898,0.000103898,0.000103898
4,5.81821,0.92113,2.96997,0.99442,0.03269,0.56397,0.10685,0.07668,0.93614,3.73937,0.92139,0.000139384,0.000139384,0.000139384
5,7.32334,0.87807,2.43666,0.97738,0.04252,0.68723,0.26048,0.19111,0.86537,3.72758,0.91378,0.000174414,0.000174414,0.000174414
6,8.82321,0.8191,1.89194,0.96345,0.06132,0.83105,0.4495,0.32984,0.87835,3.52055,0.92543,0.000208988,0.000208988,0.000208988
7,10.3106,0.81431,1.59514,0.94594,0.08654,0.83441,0.50001,0.38578,0.85586,3.44758,0.90996,0.000243107,0.000243107,0.000243107
8,11.7999,0.78503,1.43148,0.92322,0.10354,0.83299,0.57037,0.41429,0.82095,3.38463,0.91565,0.00027677,0.00027677,0.00027677
9,13.2927,0.74256,1.29641,0.91304,0.09208,0.88089,0.72892,0.52854,0.86512,3.19086,0.92645,0.000309977,0.000309977,0.000309977
10,14.7751,0.74936,1.2183,0.92451,0.91482,0.16896,0.69458,0.52157,0.82744,3.12716,0.90746,0.000342729,0.000342729,0.000342729
11,16.2517,0.73555,1.17853,0.9097,0.10527,0.91063,0.74832,0.56782,0.82842,2.91114,0.92644,0.000375025,0.000375025,0.000375025
12,17.7401,0.74525,1.12952,0.91384,0.07354,0.913,0.73813,0.55651,0.84757,2.71893,0.93677,0.000406865,0.000406865,0.000406865
13,19.1852,0.72764,1.00467,0.9059,0.85947,0.24115,0.79196,0.59371,0.84921,2.56622,0.94717,0.00043825,0.00043825,0.00043825
14,20.6514,0.70839,0.98353,0.89935,0.84955,0.48988,0.83497,0.62807,0.84518,1.98186,0.93955,0.000469179,0.000469179,0.000469179
15,22.0968,0.67136,0.9467,0.89541,0.88213,0.58122,0.82513,0.64353,0.84601,1.9781,0.93795,0.000480435,0.000480435,0.000480435
16,23.5634,0.69147,0.92266,0.90414,0.88934,0.70564,0.85097,0.65336,0.78809,1.51299,0.92877,0.000477181,0.000477181,0.000477181
17,25.0152,0.6841,0.90402,0.89979,0.86309,0.72371,0.8372,0.6292,0.84843,1.55214,0.95938,0.000473926,0.000473926,0.000473926
18,26.4654,0.67143,0.88467,0.89736,0.8638,0.85031,0.83577,0.63866,0.80628,1.08105,0.93896,0.000470671,0.000470671,0.000470671
19,27.9199,0.65812,0.8499,0.88693,0.84531,0.79461,0.84308,0.6423,0.8069,1.08519,0.94091,0.000467417,0.000467417,0.000467417
20,29.5069,0.67365,0.84017,0.8997,0.82511,0.84381,0.82263,0.61796,0.82808,1.0276,0.95327,0.000464162,0.000464162,0.000464162
21,30.9644,0.6345,0.79062,0.88935,0.88069,0.7887,0.82385,0.62125,0.82759,0.89449,0.96568,0.000460907,0.000460907,0.000460907
22,32.4151,0.63066,0.78413,0.88139,0.85744,0.8449,0.8493,0.64598,0.79611,0.94426,0.93086,0.000457653,0.000457653,0.000457653
23,33.8529,0.62613,0.79086,0.87406,0.90115,0.87003,0.87436,0.67324,0.76769,0.73894,0.92012,0.000454398,0.000454398,0.000454398
24,35.3043,0.63073,0.76817,0.88908,0.87428,0.84285,0.85606,0.66745,0.76454,0.84451,0.91308,0.000451144,0.000451144,0.000451144
25,36.7481,0.6127,0.75684,0.87378,0.88209,0.85488,0.87598,0.66196,0.79804,0.72108,0.93914,0.000447889,0.000447889,0.000447889
26,38.217,0.64069,0.76116,0.88913,0.85474,0.8682,0.86489,0.64409,0.83722,0.69475,0.97183,0.000444634,0.000444634,0.000444634
27,39.6551,0.63412,0.76205,0.88832,0.91401,0.84596,0.91026,0.71498,0.75672,0.70439,0.92037,0.00044138,0.00044138,0.00044138
28,41.1086,0.64307,0.75047,0.8926,0.93348,0.83718,0.90497,0.71397,0.75129,0.60944,0.92252,0.000438125,0.000438125,0.000438125
29,42.5684,0.62021,0.70646,0.88163,0.88602,0.81768,0.88063,0.68711,0.75868,0.77215,0.93075,0.00043487,0.00043487,0.00043487
30,44.0328,0.599,0.69759,0.87343,0.88329,0.84852,0.88675,0.69771,0.75289,0.74014,0.91644,0.000431616,0.000431616,0.000431616
31,45.4692,0.62347,0.70377,0.88006,0.88735,0.85574,0.91256,0.69548,0.78257,0.64006,0.93897,0.000428361,0.000428361,0.000428361
32,46.9194,0.60765,0.68426,0.87367,0.84323,0.86071,0.93324,0.71998,0.76428,0.59588,0.92735,0.000425107,0.000425107,0.000425107
33,48.3814,0.59445,0.69584,0.871,0.89003,0.76412,0.89264,0.70695,0.76672,0.69209,0.92929,0.000421852,0.000421852,0.000421852
34,49.8234,0.61857,0.72325,0.87831,0.83014,0.84145,0.93087,0.73128,0.79115,0.62331,0.95054,0.000418597,0.000418597,0.000418597
35,51.277,0.59724,0.67595,0.87015,0.92321,0.85002,0.96246,0.73917,0.7768,0.61773,0.93885,0.000415343,0.000415343,0.000415343
36,52.8612,0.58554,0.67916,0.87502,0.90771,0.86326,0.96647,0.73857,0.77012,0.57819,0.93594,0.000412088,0.000412088,0.000412088
37,54.3033,0.58851,0.67885,0.87665,0.89403,0.86516,0.97007,0.75487,0.74974,0.59704,0.93255,0.000408834,0.000408834,0.000408834
38,55.7666,0.57322,0.64268,0.8667,0.95727,0.823,0.9675,0.74485,0.80055,0.63187,0.9681,0.000405579,0.000405579,0.000405579
39,57.2128,0.57569,0.63368,0.86996,0.93928,0.83529,0.94677,0.72619,0.78007,0.60025,0.95529,0.000402324,0.000402324,0.000402324
40,58.6609,0.58198,0.63865,0.86933,0.88747,0.8547,0.95708,0.75361,0.73622,0.62514,0.91405,0.00039907,0.00039907,0.00039907
41,60.1008,0.58267,0.64904,0.87744,0.93936,0.84219,0.97058,0.75814,0.76739,0.63255,0.93188,0.000395815,0.000395815,0.000395815
42,61.5648,0.58191,0.64797,0.8764,0.95706,0.85483,0.96282,0.74845,0.75493,0.50755,0.92807,0.00039256,0.00039256,0.00039256
43,63.0038,0.57221,0.61317,0.86597,0.93336,0.87384,0.96845,0.73349,0.76722,0.52928,0.94499,0.000389306,0.000389306,0.000389306
44,64.4611,0.55671,0.62415,0.87003,0.95992,0.86446,0.96735,0.73422,0.76132,0.55419,0.93942,0.000386051,0.000386051,0.000386051
45,65.9211,0.57778,0.62131,0.86791,0.96156,0.87022,0.96824,0.71678,0.83134,0.53247,0.97395,0.000382796,0.000382796,0.000382796
46,67.3719,0.59981,0.60838,0.87493,0.92293,0.87627,0.95404,0.72699,0.7555,0.50675,0.9289,0.000379542,0.000379542,0.000379542
